,Family,LigandType,Value,Category
333,Class A orphans,orphan,27.0,Identify
334,Class A orphans,orphan,48.0,Similarity
335,Class A orphans,orphan,30.0,Identify
336,Class A orphans,orphan,47.0,Similarity
337,Class A orphans,orphan,29.0,Identify
338,Class A orphans,orphan,47.0,Similarity
339,Class A orphans,orphan,28.0,Identify
340,Class A orphans,orphan,47.0,Similarity
341,Class A orphans,orphan,25.0,Identify
342,Class A orphans,orphan,47.0,Similarity
343,Class A orphans,orphan,24.0,Identify
344,Class A orphans,orphan,46.0,Similarity
345,Class A orphans,orphan,24.0,Identify
346,Class A orphans,orphan,45.0,Similarity
347,Class A orphans,orphan,31.0,Identify
348,Class A orphans,orphan,44.0,Similarity
349,Class A orphans,orphan,28.0,Identify
350,Class A orphans,orphan,44.0,Similarity
351,Class A orphans,orphan,28.0,Identify
352,Class A orphans,orphan,42.0,Similarity
353,Class A orphans,orphan,25.0,Identify
354,Class A orphans,orphan,42.0,Similarity
355,Class A orphans,orphan,18.0,Identify
356,Class A orphans,orphan,41.0,Similarity
357,Class A orphans,orphan,23.0,Identify
358,Class A orphans,orphan,41.0,Similarity
359,Class A orphans,orphan,22.0,Identify
360,Class A orphans,orphan,39.0,Similarity
361,Class A orphans,orphan,24.0,Identify
362,Class A orphans,orphan,39.0,Similarity
363,Class A orphans,orphan,16.0,Identify
364,Class A orphans,orphan,38.0,Similarity
365,Class A orphans,orphan,19.0,Identify
366,Class A orphans,orphan,38.0,Similarity
367,Class A orphans,orphan,18.0,Identify
368,Class A orphans,orphan,38.0,Similarity
369,Class A orphans,orphan,17.0,Identify
370,Class A orphans,orphan,38.0,Similarity
371,Class A orphans,orphan,15.0,Identify
372,Class A orphans,orphan,37.0,Similarity
373,Class A orphans,orphan,18.0,Identify
374,Class A orphans,orphan,37.0,Similarity
375,Class A orphans,orphan,18.0,Identify
376,Class A orphans,orphan,37.0,Similarity
377,Class A orphans,orphan,17.0,Identify
378,Class A orphans,orphan,36.0,Similarity
379,Class A orphans,orphan,21.0,Identify
380,Class A orphans,orphan,36.0,Similarity
381,Class A orphans,orphan,18.0,Identify
382,Class A orphans,orphan,36.0,Similarity
383,Class A orphans,orphan,17.0,Identify
384,Class A orphans,orphan,36.0,Similarity
385,Class A orphans,orphan,17.0,Identify
386,Class A orphans,orphan,35.0,Similarity
387,Class A orphans,orphan,19.0,Identify
388,Class A orphans,orphan,35.0,Similarity
389,Class A orphans,orphan,17.0,Identify
390,Class A orphans,orphan,35.0,Similarity
391,Class A orphans,orphan,17.0,Identify
392,Class A orphans,orphan,35.0,Similarity
393,Class A orphans,orphan,17.0,Identify
394,Class A orphans,orphan,35.0,Similarity
395,Class A orphans,orphan,17.0,Identify
396,Class A orphans,orphan,34.0,Similarity
397,Class A orphans,orphan,17.0,Identify
398,Class A orphans,orphan,33.0,Similarity
399,Class A orphans,orphan,18.0,Identify
400,Class A orphans,orphan,33.0,Similarity
401,Class A orphans,orphan,17.0,Identify
402,Class A orphans,orphan,33.0,Similarity
403,Class A orphans,orphan,17.0,Identify
404,Class A orphans,orphan,33.0,Similarity
405,Class A orphans,orphan,16.0,Identify
406,Class A orphans,orphan,33.0,Similarity
407,Class A orphans,orphan,15.0,Identify
408,Class A orphans,orphan,32.0,Similarity
409,Class A orphans,orphan,17.0,Identify
410,Class A orphans,orphan,32.0,Similarity
411,Class A orphans,orphan,17.0,Identify
412,Class A orphans,orphan,32.0,Similarity
413,Class A orphans,orphan,17.0,Identify
414,Class A orphans,orphan,32.0,Similarity
415,Class A orphans,orphan,17.0,Identify
416,Class A orphans,orphan,32.0,Similarity
417,Class A orphans,orphan,17.0,Identify
418,Class A orphans,orphan,32.0,Similarity
419,Class A orphans,orphan,16.0,Identify
420,Class A orphans,orphan,32.0,Similarity
421,Class A orphans,orphan,16.0,Identify
422,Class A orphans,orphan,32.0,Similarity
423,Class A orphans,orphan,15.0,Identify
424,Class A orphans,orphan,32.0,Similarity
425,Class A orphans,orphan,15.0,Identify
426,Class A orphans,orphan,32.0,Similarity
427,Class A orphans,orphan,12.0,Identify
428,Class A orphans,orphan,31.0,Similarity
