,Family,LigandType,Value,Category
509,Adhesion class orphans,orphan,23.0,Identify
510,Adhesion class orphans,orphan,40.0,Similarity
511,Adhesion class orphans,orphan,23.0,Identify
512,Adhesion class orphans,orphan,40.0,Similarity
513,Adhesion class orphans,orphan,21.0,Identify
514,Adhesion class orphans,orphan,38.0,Similarity
515,Adhesion class orphans,orphan,24.0,Identify
516,Adhesion class orphans,orphan,37.0,Similarity
517,Adhesion class orphans,orphan,21.0,Identify
518,Adhesion class orphans,orphan,37.0,Similarity
519,Adhesion class orphans,orphan,21.0,Identify
520,Adhesion class orphans,orphan,37.0,Similarity
521,Adhesion class orphans,orphan,19.0,Identify
522,Adhesion class orphans,orphan,36.0,Similarity
523,Adhesion class orphans,orphan,21.0,Identify
524,Adhesion class orphans,orphan,35.0,Similarity
525,Adhesion class orphans,orphan,17.0,Identify
526,Adhesion class orphans,orphan,34.0,Similarity
527,Adhesion class orphans,orphan,19.0,Identify
528,Adhesion class orphans,orphan,34.0,Similarity
529,Adhesion class orphans,orphan,19.0,Identify
530,Adhesion class orphans,orphan,34.0,Similarity
531,Adhesion class orphans,orphan,18.0,Identify
532,Adhesion class orphans,orphan,34.0,Similarity
533,Adhesion class orphans,orphan,17.0,Identify
534,Adhesion class orphans,orphan,34.0,Similarity
535,Adhesion class orphans,orphan,17.0,Identify
536,Adhesion class orphans,orphan,33.0,Similarity
537,Adhesion class orphans,orphan,18.0,Identify
538,Adhesion class orphans,orphan,32.0,Similarity
539,Adhesion class orphans,orphan,19.0,Identify
540,Adhesion class orphans,orphan,31.0,Similarity
541,Adhesion class orphans,orphan,17.0,Identify
542,Adhesion class orphans,orphan,30.0,Similarity
543,Adhesion class orphans,orphan,14.0,Identify
544,Adhesion class orphans,orphan,26.0,Similarity
545,Adhesion class orphans,orphan,15.0,Identify
546,Adhesion class orphans,orphan,18.0,Similarity
547,Adhesion class orphans,orphan,7.0,Identify
548,Adhesion class orphans,orphan,16.0,Similarity
549,Adhesion class orphans,orphan,5.0,Identify
550,Adhesion class orphans,orphan,59.0,Similarity
551,Adhesion class orphans,orphan,39.0,Identify
552,Adhesion class orphans,orphan,54.0,Similarity
553,Adhesion class orphans,orphan,34.0,Identify
554,Adhesion class orphans,orphan,53.0,Similarity
555,Adhesion class orphans,orphan,32.0,Identify
556,Adhesion class orphans,orphan,49.0,Similarity
557,Adhesion class orphans,orphan,27.0,Identify
558,Adhesion class orphans,orphan,47.0,Similarity
559,Adhesion class orphans,orphan,27.0,Identify
560,Adhesion class orphans,orphan,47.0,Similarity
561,Adhesion class orphans,orphan,26.0,Identify
562,Adhesion class orphans,orphan,47.0,Similarity
563,Adhesion class orphans,orphan,26.0,Identify
564,Adhesion class orphans,orphan,46.0,Similarity
565,Adhesion class orphans,orphan,26.0,Identify
566,Adhesion class orphans,orphan,46.0,Similarity
